res_id,distr_id,name,city,latitude,longitude,zipcode,address,res_id_1,distr_id_1,name_1,city_1,latitude_1,longitude_1,zipcode_1,address_1
2790,60000248,Me Marathi,Mumbai,19.16780666,72.85434064,(blank),"Vishveshwar Nagar Road, Near St Pius College, Goregaon East, Mumbai",49388,60000248,Me Marathi,Mumbai,19.16780666,72.85434064,(blank),"Vishveshwar Nagar Road, Near St Pius College, Goregaon East, Mumbai"
2791,60000248,Anand Stall,Mumbai,19.10290691,72.83672825,(blank),"Opposite Mithibai College, Gulmohar Road 1, Vile Parle West, Mumbai",49418,60000248,Anand Stall,Mumbai,19.10290691,72.83672825,(blank),"Opposite Mithibai College, Gulmohar Road 1, Vile Parle West, Mumbai"
2792,60000248,Pishu's,Mumbai,19.17674116,72.8368533,(blank),"29, Linkway Estate, Link Road, Next To North Exhange, Malad West, Mumbai",49421,60000248,Pishu's,Mumbai,19.17674116,72.8368533,(blank),"29, Linkway Estate, Link Road, Next To North Exhange, Malad West, Mumbai"
2793,60000248,Bangalore Iyengar's Bakery,Mumbai,19.11719837,72.88008582,(blank),"6, Near Seven Hills Hospital, Marol Maroshi Road, Marol, Mumbai",49456,60000248,Bangalore Iyengar's Bakery,Mumbai,19.11719837,72.88008582,(blank),"6, Near Seven Hills Hospital, Marol Maroshi Road, Marol, Mumbai"
2794,60000248,Tea Villa Cafe,Mumbai,19.10328012,72.84665979,(blank),"Pardhy House, Junction of MG Road & Hanuman Road, Opposite Jain Temple, Vile Parle East, Mumbai",49486,60000248,Tea Villa Cafe,Mumbai,19.10328012,72.84665979,(blank),"Pardhy House, Junction of MG Road & Hanuman Road, Opposite Jain Temple, Vile Parle East, Mumbai"
2795,60000248,Manjeet Chole Puri Wala,Mumbai,19.03414734,72.86325496,(blank),"J. K. Bhasin Marg, Sion Koliwada, Sion, Mumbai",49492,60000248,Manjeet Chole Puri Wala,Mumbai,19.03414734,72.86325496,(blank),"J. K. Bhasin Marg, Sion Koliwada, Sion, Mumbai"
2796,60000248,RISO,Mumbai,18.994940772899998,72.82567989,400013,"Gala 1, Janta Industrial Estate, Opposite High Street Phoenix Mall, SB Road, Lower Parel, Mumbai",49494,60000248,RISO,Mumbai,18.994940772899998,72.82567989,400013,"Gala 1, Janta Industrial Estate, Opposite High Street Phoenix Mall, SB Road, Lower Parel, Mumbai"
2797,60000248,Brewbot Eatery & Pub Brewery,Mumbai,19.140893839500002,72.83308681,400053,"G01 & 101, Morya Landmark 1, Off New Link Road, Veera Desai Area, Mumbai",49499,60000248,Brewbot Eatery & Pub Brewery,Mumbai,19.140893839500002,72.83308681,400053,"G01 & 101, Morya Landmark 1, Off New Link Road, Veera Desai Area, Mumbai"
2798,60000248,Theobroma,Mumbai,19.17364662,72.86021701989999,(blank),"1st Floor, Oberoi Mall, Film City Road, Goregaon East, Mumbai",49500,60000248,Theobroma,Mumbai,19.17364662,72.86021701989999,(blank),"1st Floor, Oberoi Mall, Film City Road, Goregaon East, Mumbai"
2799,60000248,Yuuka - The St. Regis Mumbai,Mumbai,18.9945724,72.82372187819999,(blank),"The St. Regis, 462, Senapati Bapat Marg, Lower Parel, Mumbai",49533,60000248,Yuuka - The St. Regis Mumbai,Mumbai,18.9945724,72.82372187819999,(blank),"The St. Regis, 462, Senapati Bapat Marg, Lower Parel, Mumbai"
2800,60000248,Hot Buns,Mumbai,19.244701312100002,72.85223108,(blank),"34, Near IC Church Gate, IC Colony, Borivali West, Mumbai",49539,60000248,Hot Buns,Mumbai,19.244701312100002,72.85223108,(blank),"34, Near IC Church Gate, IC Colony, Borivali West, Mumbai"
2801,60000248,Balaji Pure Veg,Mumbai,19.46414647,72.80534438789999,(blank),"Riddhi Arcade, Near Viva College, Virar West, Virar, Mumbai",49582,60000248,Balaji Pure Veg,Mumbai,19.46414647,72.80534438789999,(blank),"Riddhi Arcade, Near Viva College, Virar West, Virar, Mumbai"
2802,60000249,Silli Chilli,Mumbai,19.14464559,72.82959289850001,400053,"311, Snehanjali CHS, Near Samarth Aishwarya Building, Adarsh Nagar, Andheri Lokhandwala, Andheri West, Mumbai",49608,60000249,Silli Chilli,Mumbai,19.14464559,72.82959289850001,400053,"311, Snehanjali CHS, Near Samarth Aishwarya Building, Adarsh Nagar, Andheri Lokhandwala, Andheri West, Mumbai"
2803,60000249,Shree Krishna Refreshments,Mumbai,19.01736965,72.84398429,400014,"Opposite Dadar Central Railway Station, Dadar East, Mumbai",49628,60000249,Shree Krishna Refreshments,Mumbai,19.01736965,72.84398429,400014,"Opposite Dadar Central Railway Station, Dadar East, Mumbai"
2804,60000249,Zoodles - Oriental Street Wok,Mumbai,19.14946461,72.83152174199999,(blank),"4-5, Ground Floor, Building 12, New MHADA Cooperative Housing Society, Opposite Oshiwara Police Station, Andheri West Oshiwara, Oshiwara",49636,60000249,Zoodles - Oriental Street Wok,Mumbai,19.14946461,72.83152174199999,(blank),"4-5, Ground Floor, Building 12, New MHADA Cooperative Housing Society, Opposite Oshiwara Police Station, Andheri West Oshiwara, Oshiwara"
2805,60000249,Sweetish House Mafia,Mumbai,19.00060898,72.83044584,(blank),"Mathuradas Mills Compound, NM Joshi Marg, Lower Parel West, Lower Parel, Mumbai",49641,60000249,Sweetish House Mafia,Mumbai,19.00060898,72.83044584,(blank),"Mathuradas Mills Compound, NM Joshi Marg, Lower Parel West, Lower Parel, Mumbai"
2806,60000249,Cheelizza - India Ka Pizza,Navi Mumbai,19.046097305099998,73.07270128,410210,"Shop 1A, Plot 184, Haawre Tiara Shopping Complex, Raghunath Vihar, Sector 13, Kharghar, Navi Mumbai",49657,60000249,Cheelizza - India Ka Pizza,Navi Mumbai,19.046097305099998,73.07270128,410210,"Shop 1A, Plot 184, Haawre Tiara Shopping Complex, Raghunath Vihar, Sector 13, Kharghar, Navi Mumbai"
2807,60000249,Cake Walk 72,Mumbai,19.11312287,72.89238006,400072,"G-21, Narayan Plaza, Near HDFC Bank ATM, Chandivali, Mumbai",49660,60000249,Cake Walk 72,Mumbai,19.11312287,72.89238006,400072,"G-21, Narayan Plaza, Near HDFC Bank ATM, Chandivali, Mumbai"
